"","suburb","state","blurb"
"363","Alphington","VIC","Alphington is a suburb of Melbourne, Victoria, Australia, 7 km north-east of Melbourne's Central Business District. Its local government area are the Cities of Darebin and Yarra. At the 2016 census, Alphington had a population of 5,080."
"364","Whitfield","VIC","Whitfield is an agricultural township in the King Valley in north-eastern Victoria."
"365","Emerald","VIC","Emerald is a suburb in the Greater Melbourne area of Victoria, Australia, 44 km south-east of Melbourne's Central Business District, located within the Shires of Cardinia and Yarra Ranges local government areas. Emerald recorded a population of 5,778 at the 2016 Census."
"366","Arcadia","VIC","Arcadia is a small town in Victoria, Australia. It is on Kennedys Road, in the City of Greater Shepparton, south of Shepparton. At the 2011 census, Arcadia had a population of 227.[1]"
"367","Bandiana","VIC","Bandiana is a bounded rural locality of the City of Wodonga local government area in northeast Victoria, Australia. At the 2006 census, Bandiana and had a population of 114, mainly based at the military camp.[1]"
"368","Kilsyth South","VIC","Kilsyth South is a suburb of Melbourne, Victoria, Australia, 32 km east from Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Kilsyth South had a population of 3,053. The bushland of the suburb is the only place there Kilsyth South Spider Orchids were found."
"369","Port Campbell","VIC","Port Campbell /pɔːt ˈkæmbəl/[2] is a coastal town in Victoria, Australia. The town is on the Great Ocean Road, west of the Twelve Apostles, in the Shire of Corangamite. At the 2006 census, Port Campbell had a population of 599.[1]"
"370","Gisborne South","VIC","Gisborne South, also known as Couangalt,[2][3][4][5] is a locality in the Macedon Ranges Shire, in Victoria, Australia, north west of the city of Melbourne. At the 2006 census, Gisborne South had a population of 742.[1]"
"371","Rosebrook","VIC","Rosebrook is a locality in south west Victoria, Australia. The locality is in the Shire of Moyne, 282 kilometres (175 mi) west of the state capital, Melbourne."
"372","Rosanna","VIC","Rosanna is a suburb of Melbourne, Victoria, Australia, 12 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2016 Census, Rosanna had a population of 8,498."
"373","Koonwarra","VIC","Koonwarra is a town in the South Gippsland region of Victoria, Australia. At the 2011 census, Koonwarra had a population of 385.[1] The town straddles the South Gippsland Highway.[2] Located around 128 km southeast of Melbourne, the town was served by rail from the 1890s until 1991 with the closing of the rail line to Barry Beach.[3]"
"374","Bruthen","VIC","Bruthen is a small town located alongside the Tambo River between Bairnsdale and Ensay on the Great Alpine Road in East Gippsland, Victoria, Australia. At the 2016 census, Bruthen had a population of 814. Bruthen is 26 km (16 mi) east of Bairnsdale and 311 km (193 mi) east of the state capital Melbourne."
"375","Taylors Hill","VIC","Taylors Hill is a suburb of Melbourne, Victoria, Australia, 25 km north-west of Melbourne's Central Business District, located within the City of Melton local government area. Taylors Hill recorded a population of 14,921 at the 2016 census."
"376","Chewton","VIC","Chewton is a town in central Victoria, Australia in the Shire of Mount Alexander local government area, 116 kilometres north west of the state capital, Melbourne. At the 2006 census, Chewton had a population of 403.[1]"
"377","Wandana Heights","VIC","Wandana Heights is a residential suburb of Geelong, Victoria, Australia. Suburban development of the suburb commenced in the 1980s which due to the current high property prices in Australia, and the fluctuation of prices in previous years housing development has been sporadic with periods where there has been no new constructions, punctuated with occasional spurts. Another factor affecting the growth of the area is the monetary value for plots, which is significantly higher than the neighbouring suburb of Highton due to the very expansive views of the surrounding district."
"378","Rippleside","VIC","Rippleside is a suburb of Geelong, Victoria, Australia. The suburb overlooks Corio Bay. At the 2016 census, Rippleside had a population of 875.[1]"
"379","Brooklyn","VIC","Brooklyn is a suburb of Melbourne, Victoria, Australia, 10 km west of Melbourne's Central Business District, located within the Cities of Brimbank and Hobsons Bay local government areas. Brooklyn recorded a population of 1,856 at the 2016 Census."
"380","Nanneella","VIC","Nanneella is a locality in the Goulburn Valley region of Victoria, Australia. The locality is in the Shire of Campaspe, 194 kilometres (121 mi) north of the state capital, Melbourne."
"381","Romsey","VIC","Romsey /ˈrɒmzi/ is a town in the local government area of the Shire of Macedon Ranges in the state of Victoria, Australia. The town is 61 kilometres (38 mi) north of Melbourne. At the 2011 census, Romsey had a population of 4,412."
"382","North Bendigo","VIC","North Bendigo is a suburb of the city of Bendigo in central Victoria, Australia. North Bendigo is in the City of Greater Bendigo, 2.4 kilometres (1.5 mi) north of the Bendigo central business district. At the 2011 census, North Bendigo had a population of 3,953.[1]"
"383","The Patch","VIC","The Patch is a suburb in Melbourne, Victoria, Australia, 39 km east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 census, The Patch had a population of 793."
"384","Navarre","VIC","Navarre is a town in the Wimmera region of the Australian state of Victoria. The town is in the Shire of Northern Grampians local government area, 227 kilometres (141 mi) north west of the state capital, Melbourne and 37 kilometres (23 mi) north east of the regional centre of Stawell. At the 2011 census, Navarre and the surrounding area had a population of 241.[1]"
"385","Glengarry","VIC","Glengarry is a town in the Gippsland region of Victoria, Australia. The town is located in the City of Latrobe local government area, 165 kilometres (103 mi) south east of the state capital, Melbourne. At the 2011 census, Glengarry had a population of 692.[1]"
"386","Cape Schanck","VIC","Cape Schanck is a locality in the Australian state of Victoria. It is the southernmost tip of the Mornington Peninsula and separates the wild ocean waters of Bass Strait from the slightly calmer waters of Western Port."
"387","Bunbartha","VIC","Bunbartha is a small town in Victoria, Australia. It is located in the City of Greater Shepparton. At the 2011 census, Bunbartha had a population of 442.[1]"
"388","Burrumbeet","VIC","Burrumbeet is a town in western Victoria, Australia. The town is located on the Western Highway, 136 kilometres (85 mi) west of the state capital, Melbourne and 24 kilometres (15 mi) west of the regional centre, Ballarat. At the 2016 census, Burrumbeet and the surrounding area had a population of 232.[1]"
"389","Yallourn North","VIC","Yallourn North is a small country town in the City of Latrobe, Victoria, Australia. It is approximately eight kilometres north-east of Moe, and 146 kilometres south-east of Melbourne. Prior to 1947 Yallourn North was known as ""Brown Coal Mine""."
"390","Kancoona","VIC","Kancoona is a locality in northeast Victoria, Australia in the Kiewa Valley, 329 kilometres (204 mi) northeast of the state capital, Melbourne. At the 2006 census, Kancoona had a population of 210.[1]"
"391","Indented Head","VIC","Indented Head is a small coastal township located on the Bellarine Peninsula, east of Geelong, in the Australian state of Victoria. The town lies on the coast of the Port Phillip bay between the towns of Portarlington and St Leonards."
"392","Wyuna","VIC","Wyuna is a locality in the Goulburn Valley region of Victoria, Australia. The locality is in the Shire of Campaspe, 215 kilometres (134 mi) north of the state capital, Melbourne."
"393","Somers","VIC","Somers is a small town approximately 72 km south-east of Melbourne, Victoria, Australia, in the south-eastern corner of the Mornington Peninsula on Western Port. Its local government area is the Shire of Mornington Peninsula."
"394","Elmore","VIC","Elmore is a small town in Victoria north-east of Bendigo on the Campaspe River. Elmore is close to the Whipstick State Park."
"395","Quarry Hill","VIC","Quarry Hill is an inner suburb of Bendigo, Victoria, Australia 3 kilometres (1.9 mi) south of the Bendigo city centre. At the 2011 census, Quarry Hill had a population of 2,338.[1]"
"396","Pearcedale","VIC","Pearcedale is a township and coastal rural locality in Victoria, Australia, 49 km south-east of Melbourne's central business district. Its local government areas are the City of Casey and the Shire of Mornington Peninsula. A bus service operates to and from Frankston railway station via Baxter. At the 2011 Census, Pearcedale had a population of 3,871.[2]"
"397","Millgrove","VIC","Millgrove is a small town in Victoria, Australia, 63 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2016 census, Millgrove had a population of 1,653.[1]"
"398","Neerim South","VIC","Neerim South is a town in West Gippsland, Victoria, Australia, located in the Shire of Baw Baw, 109 kilometres (68 mi) east of Melbourne and 19 kilometres (12 mi) north of Warragul. At the 2006 census, Neerim South and the surrounding area had a population of 1,602.[1]"
"399","Poowong","VIC","Poowong is a small dairying town located in South Gippsland, Victoria. At the 2016 census, Poowong had a population of 360.[1]"
"400","Blairgowrie","VIC","Blairgowrie is a seaside village approximately 87 km from Melbourne, Victoria, Australia. Its local government area is the Shire of Mornington Peninsula."
"401","Vermont","VIC","Vermont is a suburb of Melbourne, Victoria, Australia, 21 km (13 mi) east of Melbourne's Central Business District.[2] Its local government area comprises the cities of Maroondah and Whitehorse. At the 2011 census, Vermont had a population of 9,902."
"402","Aspendale","VIC","Aspendale is a suburb in Melbourne, Victoria, Australia, 27 km south-east from Melbourne's central business district.[2] Its local government area is the City of Kingston. At the 2016 census, Aspendale had a population of 6,940.[1]"
"403","Keilor East","VIC","Keilor East is a suburb of Melbourne, Victoria, Australia, 16 km north-west of Melbourne's Central Business District, located within the Cities of Brimbank and Moonee Valley local government areas. Keilor East recorded a population of 14,514 at the 2016 Census."
"404","Crossley","VIC","Crossley is a locality in south west Victoria, Australia. The locality is in the Shire of Moyne, 278 kilometres (173 mi) west of the state capital, Melbourne."
"405","Kiewa","VIC","Kiewa is a locality in north east Victoria, Australia. The locality is in the Shire of Indigo local government area and on the Kiewa River, 343 kilometres (213 mi) north east of the state capital, Melbourne."
"406","Teesdale","VIC","Teesdale is a rural locality in Victoria, Australia. The locality is in the Golden Plains Shire, near the regional city of Geelong and 100 kilometres (62 mi) west of the state capital, Melbourne. At the 2016 census, Teesdale had a population of 1,721.[1]"
"407","Mount Dandenong","VIC","Mount Dandenong is both a mountain and a small township/suburb of Greater Melbourne, Victoria, Australia, 35 km (22 mi) east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Mount Dandenong had a population of 1,276."
"408","Johanna","VIC","Johanna is a small town on the coast of Victoria, Australia located west of Cape Otway in the Colac Otway Shire. It is named after the schooner Joanna that was wrecked at the mouth of the Johanna River on 22 September 1843 [2][3] .[4]"
"409","Bellbridge","VIC","Bellbridge is a small town in the state of Victoria. Overlooking the Lake Hume and located near the Bethanga Bridge, Bellbridge is a popular destination for local tourists, especially from the nearby towns of Albury and Wodonga who often come to the Weir to water ski. The local Hume Boat Club holds an annual get-together for water skiers from across Victoria."
"410","Loch","VIC","Loch is a town in the South Gippsland region of Victoria, Australia which was established in 1876. The town was named in honour of the Governor of Victoria, Henry Loch."
"411","Strathmore","VIC","Strathmore is a suburb of Melbourne, Victoria, Australia and is situated approximately 11 km north-west of Melbourne's central business district. Strathmore is part of the City of Moonee Valley local government area. At the 2011 Census, Strathmore had a population of 8,111."
"412","Merricks North","VIC","Merricks North is a rural locality in the south side of Victoria, Australia. Its local government area is the Shire of Mornington Peninsula."
"413","Curdievale","VIC","Curdievale is a locality in south west Victoria, Australia. The locality is shared between the Corangamite Shire and the Shire of Moyne, 240 kilometres (150 mi) south west of the state capital, Melbourne."
"414","Rupanyup","VIC","Rupanyup (/rəˈpænjəp/ rə-PAN-yəp) is a small town in rural Victoria, Australia. As of the 2011 census, it had a population of 549.[1] The name Rupanyup is an Aboriginal word meaning 'branch hanging over water'.[2]"
"415","Guys Hill","VIC","Guys Hill is a rural locality in Melbourne, Victoria, Australia, 44 km east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Guys Hill recorded a population of 382 at the 2016 Census."
"416","Strathbogie","VIC","Strathbogie is a town in Victoria, Australia. It is in the Shire of Strathbogie local government area. At the 2011 census, Strathbogie and the surrounding area had a population of 309.[1]"
"417","Jamieson","VIC","Jamieson is a small town in Victoria, Australia. It is located at the junction of the Goulburn River and Jamieson River, 193 kilometres (120 mi) north-east of Melbourne. The name is believed to have been derived from George Jamieson, a shepherd who grazed sheep in the area in the 1850s. At the time of the 2011 census, Jamieson had a population of 384.[1]"
"418","Fawkner","VIC","Fawkner is a suburb of Melbourne, Victoria, Australia, 12 km north of Melbourne's central business district. Its local government areas are the City of Moreland and the City of Hume. At the 2016 Census, Fawkner had a population of 14,043."
"419","Mitiamo","VIC","Mitiamo is a town in northern Victoria, Australia. It is in the Shire of Loddon, 222 kilometres (138 mi) north of the state capital, Melbourne. At the 2006 census, Mitiamo had a population of 76.[1]"
"420","Bealiba","VIC","Bealiba is a town in the Australian state of Victoria. The town is located in the Central Goldfields Shire local government area, 207 kilometres (129 mi) north-west of the state capital, Melbourne, and 74 kilometres (46 mi) from the regional city of Bendigo. At the 2011 census, Bealiba and the surrounding area had a population of 300.[1]"
"421","Strathewen","VIC","Strathewen is a town in Victoria, Australia, 45 km north-east of Melbourne's Central Business District, located within the Shire of Nillumbik local government area. Strathewen recorded a population of 178 at the 2016 Census."
"422","Peechelba","VIC","Peechelba is a small town in north eastern Victoria, Australia. The town is located in the Rural City of Wangaratta and the Shire of Moira local government area between Wangaratta and Yarrawonga and 277 kilometres (172 mi) north west of the state capital, Melbourne. At the 2011 census, Peechelba and the surrounding area had a population of 345.[1]"
"423","Boneo","VIC","Boneo is a rural locality south of Melbourne, Victoria, Australia, south of and inland from Rosebud on the Mornington Peninsula. Its local government area is the Shire of Mornington Peninsula."
"424","Rawson","VIC","Rawson is a town in Victoria, Australia, located on Tyers - Thomson Valley Road, in the Shire of Baw Baw. The town was established for workers involved in the construction of the Thomson Dam, which was completed in 1983, Rawson Post Office opening on 17 April 1979.[2] At the 2011 census, Rawson had a population of 325."
"425","St Andrews","VIC","St Andrews is a town in Victoria, Australia, 36 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, St Andrews had a population of 1,226.[1]"
"426","Maddingley","VIC","Maddingley is a suburb of Bacchus Marsh, a peri-urban town in central Victoria, Australia. The locality consists of the portion of the Bacchus Marsh urban area south of the Werribee River. It is in the Shire of Moorabool, 61 kilometres (38 mi) west north west of the state capital, Melbourne. At the 2016 census, Maddingley had a population of 3,453.[1]"
"427","Waubra","VIC","Waubra (formerly known as The Springs) is a town in Victoria, Australia. The town is on the Sunraysia Highway, 33 kilometres (21 mi) north west of Ballarat and split between the Pyrenees Shire and City of Ballarat local government areas. At the 2006 census, Waubra and the surrounding area had a population of 275.[1]"
"428","Cobaw","VIC","Cobaw is a locality in the Macedon Ranges Shire, in Victoria, situated on Dry Creek."
"429","Edithvale","VIC","Edithvale is a suburb in Melbourne, Victoria, Australia, 28 km south-east from Melbourne's central business district. Its local government area is the City of Kingston. At the 2016 census, Edithvale had a population of 5,806.[1]"
"430","Trawool","VIC","Trawool is in central Victoria, Australia.[1] The area lies on the middle reaches of the Goulburn River and on the Goulburn Valley Highway, 115 kilometres (71 mi) north of the state capital, Melbourne."
"431","Hawkesdale","VIC","Hawkesdale /ˈhɔːksdeɪl/ is a town in the Western District of Victoria, Australia on the Penshurst-Warrnambool Road. It is in the Shire of Moyne local government area and the federal Division of Wannon. At the 2011 census, Hawkesdale and the surrounding area had a population of 432.[1]"
"432","Gellibrand","VIC","Gellibrand is a town in south west Victoria, Australia. The town is located in the Otway Ranges midway between the Princes Highway and Great Ocean Road in the Colac Otway Shire, 176 kilometres (109 mi) south west of the state capital, Melbourne. At the 2016 census, Gellibrand had a population of 210.[1]"
"433","Croydon South","VIC","Croydon South is a suburb of Melbourne, Victoria, Australia, 30 km east of Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Croydon South had a population of 4,523.[1]"
"434","Malmsbury","VIC","Malmsbury is a town in central Victoria, Australia on the Old Calder Highway (C794), 96 km north-west of the state capital, Melbourne and 11 km north-west of Kyneton. Situated close by the Coliban River, Malmsbury has a population of 831.[1] Malmsbury is in the north western area of the Shire of Macedon Ranges local government area."
"435","Hoddles Creek","VIC","Hoddles Creek is a bounded rural locality near Melbourne in Victoria, Australia. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Hoddles Creek had a population of 609,[1] compared to 1,061 at the 2006 census over a larger area.[2]"
"436","Coolaroo","VIC","Coolaroo is a suburb of Melbourne, Victoria, Australia, 19 km north of the Melbourne CBD. Its local government area is the City of Hume. At the 2016 Census, Coolaroo had a population of 3,191."
"437","She Oaks","VIC","She Oaks is a rural locality in Victoria, Australia. The locality is in the Golden Plains Shire, near the regional city of Geelong and 97 kilometres (60 mi) west of the state capital, Melbourne."
"438","Anakie","VIC","Anakie /ænəˈkiː/ is a rural township between Geelong, Victoria, and Bacchus Marsh, Victoria, Australia. At the 2016 census, Anakie and the surrounding area had a population of 690.[1] The town is divided between the City of Greater Geelong and Golden Plains Shire local government areas."
"439","Tennyson","VIC","Tennyson is a locality in north central Victoria, Australia. The locality is in the Shire of Campaspe, 209 kilometres (130 mi) north west of the state capital, Melbourne."
"440","Don Valley","VIC","Don Valley is a town in Victoria, Australia, approximately 70 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Don Valley had a population of 563.[1]"
"441","Keilor Lodge","VIC","Keilor Lodge is a suburb 22 km north-west of Melbourne, Victoria, Australia, located within the City of Brimbank local government area. Keilor Lodge recorded a population of 1,752 at the 2016 Census."
"442","Research","VIC","Research is a suburb of Melbourne, Victoria, Australia, 24 kilometres (15 mi) north-east from Melbourne's Central Business District. Its Local Government Area is the Shire of Nillumbik. At the 2016 Census, Research had a population of 2,649."
"443","Narrawong","VIC","Narrawong /ˈnærəwɒŋ/ is a small town in south west Victoria, Australia located on the Princes Highway 18 kilometers to the east of Portland at the mouth of the Surry River."
"444","Sydenham","VIC","For other places called Sydenham, see Sydenham (disambiguation)."
"445","Oak Park","VIC","Oak Park is a suburb of Melbourne, Victoria, Australia, 11 km north-west of Melbourne's central business district. Its local government area is the City of Moreland. At the 2016 Census, Oak Park had a population of 6,205."
"446","Myrniong","VIC","Myrniong (/ˈmɜːrnɒŋ/, locally [ˈmɜːnɔŋ])[2] is a town in Victoria, Australia. The town is located near the Western Freeway, 72 kilometres (45 mi) north west of the state capital, Melbourne and 15 kilometres (9 mi) west of Bacchus Marsh. Situated close by the Lerderderg River, at the 2016 census, Myrniong had a population of 404.[1] The town is in the eastern area of Shire of Moorabool local government area."
"447","Sebastian","VIC","Sebastian is a town in northern Victoria, Australia. The town is located in the City of Greater Bendigo."
"448","Kallista","VIC","Kallista is a locality within Greater Melbourne beyond the Melbourne metropolitan area Urban Growth Boundary,[2] 36 km south-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Kallista had a population of 1032. Kallista, along with the other towns of the Dandenong Ranges is celebrated for its picturesque natural setting, wealth of heritage houses and gardens, and country atmosphere all within commuting distance to inner Melbourne."
"449","Koo Wee Rup","VIC","Koo Wee Rup /ˌkuː ˌwiː ˈrʌp/ is a town in Victoria, Australia, 63 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Koo Wee Rup recorded a population of 3,579 at the 2016 Census."
"450","Lismore","VIC","Lismore is a town in Victoria, Australia, located on the Hamilton Highway 170 kilometres (106 mi) west of Melbourne. It is part of the Corangamite Shire local government area. The town is located at a point equidistant from Geelong and Warrnambool. At the 2006 census, Lismore had a population of 513. At the 2001 census, Lismore had a population of 262."
"451","Indigo Valley","VIC","Indigo Valley is a valley and bounded locality in Victoria, Australia stretching approximately between Yackandandah and the Hume Highway near Barnawartha. The Indigo Creek flows through it."
"452","Herne Hill","VIC","Herne Hill is a residential suburb of Geelong, Victoria, Australia. It is in the federal Division of Corio, and its postcode is 3218."
"453","Willowmavin","VIC","Willowmavin is a locality in central Victoria, Australia. The locality is in the Shire of Mitchell local government area, 86 kilometres (53 mi) north of the state capital, Melbourne."
"454","Gladysdale","VIC","Gladysdale is a bounded rural locality in Victoria, Australia, on the Yarra Junction Noojee Road. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Gladysdale had a population of 416.[1]"
"455","Woodford","VIC","Woodford is a township in the Western District of Victoria, Australia. located 9 kilometres (6 mi) north of Warrnambool. At the 2006 census, the population of the combined area was 479.[1]"
"456","Wandong","VIC","Wandong /ˈwɒndɒŋ/ is a town in Victoria, Australia. The town is about 50 kilometres (30 mi) north of the state capital, Melbourne, on the Hume Highway. It adjoins the town of Heathcote Junction, and at the 2011 census, the two towns had a population of 1,294.[1] The main centre nearest Wandong is Kilmore."
"457","Kangaroo Ground","VIC","Kangaroo Ground is a town in Victoria, Australia, 26 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, Kangaroo Ground had a population of 1,095."
"458","Cressy","VIC","Cressy is a country town in Victoria, Australia, about 38 km north of Colac on the Ballarat road. It is divided between Golden Plains Shire, the Shire of Colac Otway and Corangamite Shire. At the 2016 census, Cressy and the surrounding area had a population of 175.[1]"
"459","South Kingsville","VIC","South Kingsville is a suburb of Melbourne, Victoria, Australia, 8 km south-west of Melbourne's central business district. Its local government area is the City of Hobsons Bay. At the 2011 Census, South Kingsville had a population of 1,830. This increased to 1,947 by the 2016 Census.[2]"
"460","Niddrie","VIC","Niddrie is a suburb of Melbourne, Victoria, Australia, 13 km north-west of Melbourne's central business district. Its local government area is the City of Moonee Valley. At the 2011 Census, Niddrie had a population of 4,876."
"461","Cottles Bridge","VIC","Cottles Bridge is a town in Victoria, Australia, 30 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, Cottles Bridge had a population of 601."
"462","Bannockburn","VIC","Bannockburn is a rural township near Geelong, Victoria, Australia, 93 km southwest of Melbourne. It is located in Golden Plains Shire. In the 2016 census, Bannockburn had a population of 5,283. ."
"463","Yallambie","VIC","Yallambie is a suburb of Melbourne, Victoria, Australia, 16 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2016 census, Yallambie had a population of 4,117."
"464","Sutton Grange","VIC","Sutton Grange is a small country town located approximately 30 kilometres (19 mi) south of Bendigo in Victoria, Australia."
"465","Flinders","VIC","Flinders once known as Mendi-Moke, is a town south of Melbourne, Victoria, Australia, located on the Mornington Peninsula at the point where Western Port meets Bass Strait. Its local government area is the Shire of Mornington Peninsula. At the 2011 census, Flinders had a population of 860.[1]"
"466","Carrum","VIC","Carrum is a suburb in Melbourne, Victoria, Australia, 33 km (21 mi) south-east from Melbourne's central business district. Its local government area is the City of Kingston. At the 2016 census, Carrum had a population of 3,980.[1]"
"467","Eldorado","VIC","Eldorado, or El Dorado, is a small town in the north-east of Victoria, Australia. At the 2006 census, Eldorado had a population of 287.[1]"
"468","Eastern View","VIC","Eastern View is a small coastal town in the Surf Coast Shire, Victoria, Australia.[2]"
"469","Sunnycliffs","VIC","Sunnycliffs is a locality situated in the Sunraysia region, in north western Victoria, Australia. The locality is predominantly devoted to grape production."
"470","Spotswood","VIC","Spotswood is an inner-western suburb of Melbourne, Victoria, Australia, 7 km south-west of Melbourne's central business district. Its local government area is the City of Hobsons Bay. At the 2011 Census, Spotswood had a population of 2,339."
"471","Marshall","VIC","Marshall, formerly known as Marshalltown, is a residential suburb of Geelong, Victoria, Australia. The Marshall railway station is located in the suburb."
"472","Hurstbridge","VIC","Hurstbridge is a town in Victoria, Australia, 30 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, Hurstbridge had a population of 3,450.[1]"
"473","Bayswater North","VIC","Bayswater North is a suburb of Melbourne, Victoria, Australia, 28 km east from Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Bayswater North had a population of 8,424."
"474","Yarra Junction","VIC","Yarra Junction is a town in Victoria, Australia, 55 km (34 mi) east from Melbourne's central business district. It sits at the junction of the Yarra and Little Yarra Rivers. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Yarra Junction had a population of 2,297.[1]"
"475","Upwey","VIC","Upwey is a suburb in Melbourne, Victoria, Australia, 32 kilometres (20 mi) east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges and City of Knox. At the 2006 census, Upwey had a population of 6,760. Upwey South is a colloquial term for the area directly south of the township, but is not an official suburb."
"476","Cannons Creek","VIC","Cannons Creek is a town in Victoria, Australia, 54 km south-east from Melbourne's central business district. Its local government area is the City of Casey. At the 2016 Census, Cannons Creek had a population of 647.[1]"
"477","Winchelsea","VIC","Winchelsea is a town in Victoria, Australia. Most of the town is located in the Surf Coast Shire local government area, with a small section part of the Shire of Colac Otway. Winchelsea is located on the Barwon River 115 km south-west of Melbourne and close to Geelong (37 km north-east)."
"478","Kalorama","VIC","Kalorama is a suburb in Melbourne, Victoria, Australia, 35 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Kalorama had a population of 1,157."
"479","Cooriemungle","VIC","Cooriemungle is a town in Victoria, Australia. The town is located in the Shire of Corangamite."
"480","Upper Gundowring","VIC","Upper Gundowring is a locality in north east Victoria, Australia. The locality is in the Alpine Shire local government area, 335 kilometres (208 mi) north east of the state capital, Melbourne."
"481","Skye","VIC","Skye is a suburb in Melbourne, Victoria, Australia, 38 km south-east of Melbourne's central business district. Its local government area is the City of Frankston. At the 2016 census, Skye had a population of 8,096.[1]"
"482","Goornong","VIC","Goornong is a town in north central Victoria, Australia. The town is in the City of Greater Bendigo local government area and on the Midland Highway, 159 kilometres (99 mi) north of the state capital, Melbourne."
"483","Kingsville","VIC","Kingsville is an inner-western suburb of Melbourne, Victoria, Australia, 9 km from Melbourne's Central Business District. Its local government area is the City of Maribyrnong. At the 2011 Census, Kingsville had a population of 3,509."
"484","Lalbert","VIC","Lalbert is a very small farming town in the north-west of Victoria, Australia, within the Shire of Gannawarra. Lalbert is situated 50 kilometres (31 mi) west of Kerang on the Swan Hill-Donald Road. At the 2011 census, Lalbert had a population of 224.[1]"
"485","Seabrook","VIC","Seabrook is a suburb of Melbourne, Victoria, Australia, 19 km south-west of Melbourne's Central Business District, located within the City of Hobsons Bay local government area. Seabrook recorded a population of 5,124 at the 2016 Census."
"486","Derrimut","VIC","Derrimut is a suburb of Melbourne, Victoria, Australia, 18 km west of Melbourne's Central Business District, located within the City of Brimbank Local government area. Derrimut recorded a population of 8,269 at the 2016 Census. It is bounded by Foleys Road to the north, Robinsons Road to the west, the Western Ring Road to the east and Boundary Road to the south. Derrimut is a newly developed suburb in Melbourne. It is named after Derrimut, a nineteenth-century Aboriginal Elder. Derrimut Post Office opened on 1 June 1866 in the rural area, but closed in 1918.[2]"
"487","Undera","VIC","Undera is a town in the Goulburn Valley region of northern Victoria, Australia. The town in the City of Greater Shepparton local government area, 211 kilometres (131 mi) north of the state capital, Melbourne and 26 kilometres (16 mi) north-west of the regional centre of Shepparton. At the 2011 census, Undera and the surrounding area had a population of 545.[1]"
"488","Ashburton","VIC","Ashburton is an inner suburb of Melbourne, Victoria, Australia, 12 km (7.5 mi) southeast of Melbourne's Central Business District.[2] Its local government area is the City of Boroondara. At the 2011 census, Ashburton had a population of 7,586."
"489","Corindhap","VIC","Corindhap is a town in the Australian state of Victoria located on the Ballarat-Colac Road, 38.9 km from Ballarat and 62.9 km from Colac. Formerly known as Break O'Day."
"490","Walpeup","VIC","Walpeup /wɔːlpiːˈʌp/ is a town in the Mallee region of north west Victoria. The town is in the Rural City of Mildura local government area and on the Mallee Highway and Pinnaroo railway line between Ouyen and the South Australian border, 458 kilometres (285 mi) north west of the state capital, Melbourne and 130 kilometres (81 mi) south west of the regional centre of Mildura. At the 2016 census, Walpeup had a population of 158.[1]"
"491","Bittern","VIC","Bittern is an affluent coastal rural town in Victoria, Australia, 49 km southeast from Melbourne's central business district, as a part of the urban enclave on Western Port comprising Bittern, Hastings, Crib Point, Somerville, and Tyabb. Its local government area is the Shire of Mornington Peninsula. It is served by Bittern railway station on the Stony Point greater-metropolitan line and by the 782 bus route operated by Peninsula Bus Lines between Frankston and Flinders.[2] Bittern is named after the shy wetland bird, the Australasian bittern, which reflects the suburb's location amongst significant areas of native bushland and dense coastal vegetation.[3]"
"492","Balliang","VIC","Balliang is a locality in Victoria, Australia. It is divided between the Shire of Moorabool and City of Greater Geelong local government areas. It lies north of Geelong and 54 kilometres (34 mi) from the state capital, Melbourne. At the 2016 census, Balliang had a population of 290.[1]"
"493","Breamlea","VIC","Breamlea, Victoria, Australia, is a secluded seaside hamlet located on the south coast of the Bellarine Peninsula, 18 kilometres south of Geelong and halfway between Barwon Heads and Torquay. It is divided between the City of Greater Geelong and the Surf Coast Shire. In the 2016 census, Breamlea had a population of 162.[1]"
